epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,5908.03,1.51669,1.0531,0.90388,0.43755,0.32686,0.32659,0.18708,1.45023,1.03123,0.89802,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6160.78,1.51413,1.05181,0.90134,0.43185,0.32967,0.327,0.18686,1.44707,1.03076,0.89854,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6278.2,1.51408,1.04743,0.90158,0.42765,0.33403,0.32855,0.18672,1.44402,1.02606,0.89739,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6393.18,1.50112,1.04082,0.90193,0.42743,0.33325,0.32789,0.18749,1.44216,1.02642,0.89731,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6510.54,1.50506,1.04113,0.90141,0.4351,0.33317,0.33071,0.18852,1.44418,1.02269,0.8981,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6624.9,1.50505,1.04006,0.90034,0.43402,0.33276,0.32763,0.18809,1.44087,1.02393,0.8976,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6733.82,1.5131,1.04265,0.89954,0.44091,0.32896,0.3286,0.18819,1.44055,1.02388,0.89611,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6840.52,1.50454,1.03556,0.90059,0.43121,0.33574,0.33001,0.18923,1.43785,1.01895,0.89721,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6948.13,1.50209,1.03217,0.901,0.43133,0.33688,0.33192,0.19056,1.4395,1.02006,0.89673,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7062.14,1.49468,1.02915,0.89964,0.44685,0.33287,0.33303,0.19166,1.43494,1.01742,0.89567,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7173.72,1.49476,1.02785,0.89674,0.43561,0.33975,0.33188,0.19156,1.43564,1.01585,0.89477,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
